26	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	
61	60	41	17	72	56	41	17	17	17	17	17	17	17	57	72	32	17	17	17	
95	72	53	78	78	20	78	17	14	17	17	17	17	17	17	17	17	17	17	17	
44	20	78	41	35	72	14	56	14	17	17	14	17	17	44	17	17	17	17	17	
51	95	17	61	32	26	78	72	17	17	76	17	72	17	17	17	17	17	17	17	
5	63	61	78	17	17	78	56	41	41	78	56	17	17	57	17	17	17	17	17	
20	61	35	20	78	56	17	17	17	17	17	26	17	17	91	17	17	72	17	17	
70	18	17	56	17	41	17	17	53	17	17	17	56	17	17	17	17	17	17	17	
26	41	72	61	26	78	41	17	78	17	17	17	17	17	17	17	17	17	17	41	
61	70	61	20	20	17	17	34	17	78	56	17	17	57	17	41	41	17	17	17	
17	61	18	39	17	42	72	41	72	17	57	17	17	17	17	17	17	17	17	17	
70	78	53	56	17	17	20	17	17	56	17	17	17	46	17	17	17	17	17	17	
26	41	63	18	61	61	41	72	41	17	17	17	17	78	17	41	17	17	17	17	
72	26	72	53	56	17	17	17	41	17	17	17	17	41	72	17	17	17	17	17	
26	56	78	55	53	78	17	41	26	17	17	65	17	17	17	17	17	17	17	17	
53	26	39	17	20	17	56	41	53	17	41	17	17	17	17	17	17	17	17	17	
41	72	72	53	61	41	17	17	91	26	56	78	17	17	17	17	17	17	17	17	
20	17	39	20	41	41	35	53	41	14	17	17	17	17	17	41	32	17	17	17	
1	20	26	35	20	35	42	17	41	41	78	17	56	17	17	17	17	17	17	17	
63	55	78	17	78	41	17	17	14	17	14	17	17	17	17	26	72	17	72	17	
95	61	26	41	72	17	56	78	17	78	17	17	17	56	46	72	94	17	41	17	
60	39	72	18	18	78	72	17	17	17	17	72	17	26	41	17	17	17	17	17	
63	17	41	18	39	17	56	17	72	17	17	17	17	17	17	17	17	17	17	17	
56	53	20	78	41	53	18	17	17	17	17	17	41	57	17	17	41	17	17	17	
41	20	14	26	53	32	17	53	35	57	17	17	26	17	26	17	17	17	17	17	
38	63	56	26	20	41	56	14	17	17	17	17	17	17	17	17	17	17	17	17	
18	26	70	61	17	78	26	26	17	17	41	17	17	17	17	57	17	17	17	17	
18	94	20	41	78	53	78	34	17	26	17	17	14	17	17	17	17	41	17	17	
78	61	18	26	56	17	41	17	56	78	26	41	17	72	17	72	17	17	17	17	
17	73	17	72	41	26	53	17	17	56	14	17	17	17	17	17	17	17	41	17	
99	26	78	78	41	39	61	41	57	72	17	17	17	17	17	26	17	17	17	17	
73	60	72	35	72	61	17	56	17	3	56	56	78	17	17	32	17	17	17	17	
41	56	53	20	61	18	34	78	53	17	17	17	17	86	57	17	17	17	17	17	
56	17	78	18	78	39	14	14	56	17	41	17	17	26	72	17	17	32	41	88	
17	70	26	56	37	14	17	78	17	76	17	78	57	17	17	17	17	17	17	17	
44	18	78	37	17	17	41	41	17	53	17	14	46	17	17	4	17	17	17	80	
26	35	72	17	53	56	20	72	17	17	17	26	78	17	17	17	17	17	17	17	
51	4	55	32	53	77	53	17	41	72	17	57	17	17	17	72	17	17	17	17	
72	14	56	72	78	53	41	41	17	17	17	17	91	18	17	17	41	17	17	17	
22	78	26	61	18	17	17	26	14	17	17	17	56	28	18	17	17	17	41	41	
53	5	41	72	61	35	78	53	17	41	65	26	17	17	41	83	17	2	17	17	
61	61	61	17	56	17	41	17	78	17	78	65	26	17	17	37	17	17	17	72	
41	20	18	78	56	61	26	53	91	78	17	17	17	17	17	17	26	17	17	17	
94	39	17	78	26	17	53	41	17	17	17	17	17	17	17	17	17	17	17	17	
20	22	83	78	41	72	72	57	78	17	17	17	17	26	17	17	17	17	17	17	
55	72	61	61	56	53	78	14	26	78	72	17	17	17	26	94	17	41	17	17	
60	17	35	41	17	17	17	35	34	14	17	17	17	91	37	17	41	17	17	17	
39	55	41	78	35	56	26	17	17	41	41	17	17	17	17	17	17	32	17	17	
87	26	20	39	78	26	53	72	53	56	26	85	56	17	17	17	17	17	17	17	
87	41	39	53	42	32	17	91	57	99	17	17	17	44	17	17	17	41	17	17	
