0.401932	0.333007	0.333007	0.352120	0.352120	
0.472912	0.351882	0.351359	0.388162	0.472912	
0.427959	0.484385	0.368967	0.472912	0.385848	
0.503462	0.341094	0.472912	0.333007	0.345253	
0.461992	0.427181	0.394847	0.369294	0.384610	
0.332081	0.461992	0.352120	0.468185	0.461993	
0.426209	0.498916	0.503462	0.471607	0.403201	
0.324166	0.417353	0.452841	0.427817	0.396289	
0.503462	0.473316	0.455864	0.407507	0.395398	
0.333007	0.417430	0.400829	0.434881	0.373229	
0.556540	0.503462	0.418135	0.399809	0.486236	
0.465928	0.447150	0.368298	0.377514	0.378773	
0.395102	0.457941	0.503462	0.436340	0.373229	
0.473316	0.392892	0.446972	0.373229	0.497892	
0.344710	0.470157	0.409451	0.455294	0.390373	
0.500454	0.436159	0.503462	0.433716	0.384724	
0.601676	0.455864	0.460294	0.455864	0.373229	
0.341094	0.327932	0.417353	0.333007	0.331567	
0.418748	0.436340	0.410265	0.410265	0.387312	
0.490629	0.400829	0.333007	0.421430	0.333007	
0.436159	0.480000	0.348959	0.503462	0.351359	
0.376786	0.420210	0.503462	0.390373	0.392522	
0.414056	0.460294	0.373229	0.368464	0.333007	
0.453794	0.601676	0.430184	0.503462	0.421538	
0.389806	0.503462	0.344710	0.354663	0.371813	
0.472912	0.400829	0.503462	0.333007	0.417457	
0.400829	0.388502	0.431860	0.427817	0.324382	
0.497284	0.337581	0.421430	0.431860	0.377514	
0.416459	0.407858	0.436340	0.351359	0.333007	
0.460294	0.463536	0.390373	0.333007	0.472912	
0.455864	0.324382	0.486313	0.434448	0.333007	
0.457941	0.422109	0.452841	0.429856	0.503462	
0.434436	0.461992	0.417954	0.333007	0.430788	
0.336252	0.452841	0.399809	0.408514	0.329489	
0.328671	0.450272	0.333007	0.347041	0.333007	
0.458493	0.333007	0.411555	0.472912	0.336084	
0.331747	0.497284	0.333007	0.369294	0.374680	
0.417353	0.345701	0.436340	0.479027	0.400449	
0.405762	0.472912	0.460294	0.399809	0.382188	
0.349859	0.344710	0.369294	0.455864	0.397817	
0.475866	0.452204	0.472912	0.417353	0.387075	
0.314701	0.503462	0.447739	0.421430	0.347041	
0.452841	0.414056	0.387075	0.390373	0.399809	
0.341736	0.601676	0.503462	0.373229	0.454463	
0.489687	0.472912	0.601676	0.427817	0.427817	
0.401737	0.482623	0.468185	0.384610	0.329489	
0.428886	0.432518	0.447150	0.333007	0.368464	
0.503462	0.401737	0.427817	0.387075	0.388162	
0.431273	0.355603	0.436159	0.351359	0.345733	
0.345701	0.452516	0.480000	0.487425	0.417017	
