11	11	11	11	11	17	11	20	11	20	11	20	11	17	17	17	13	20	20	17	
13	2	12	11	11	10	10	17	11	20	17	11	11	20	17	17	17	17	15	17	
9	11	17	10	10	11	17	11	11	11	17	17	17	17	17	20	13	17	17	20	
8	8	2	8	11	11	4	11	11	11	11	11	17	13	17	17	17	17	20	17	
11	18	9	17	3	11	11	11	17	17	20	11	11	17	11	17	17	17	17	20	
1	10	10	11	8	17	11	11	11	11	20	20	20	13	13	11	13	17	17	17	
10	14	17	8	4	8	10	20	20	20	11	11	20	17	11	20	20	17	17	11	
15	9	10	8	11	10	11	17	20	11	11	11	17	17	17	20	11	17	17	17	
10	17	8	3	10	8	11	11	11	11	11	20	20	11	17	17	17	17	15	17	
8	4	11	17	10	11	3	17	11	17	17	17	17	11	17	17	17	17	11	20	
4	15	8	11	17	11	11	20	11	11	11	20	17	20	11	11	11	17	17	17	
11	12	3	11	11	11	20	11	20	20	11	17	13	17	17	17	17	17	20	17	
14	3	11	11	11	11	17	17	11	11	20	20	17	17	20	17	13	17	15	17	
19	9	17	11	8	10	11	11	11	20	17	20	11	20	20	17	17	17	17	17	
3	14	15	10	11	4	8	4	11	11	11	11	20	20	20	13	17	17	17	11	
9	11	11	8	11	11	17	11	11	11	11	11	11	11	17	17	17	20	17	17	
3	4	11	11	17	11	11	11	10	13	11	20	11	17	11	17	17	17	17	17	
12	11	11	11	10	20	11	11	17	17	20	11	11	17	17	17	11	20	20	17	
11	11	8	3	8	10	10	11	17	13	11	20	20	17	17	17	17	20	17	15	
9	13	3	4	11	11	11	20	17	11	17	11	13	11	17	17	17	11	17	17	
13	17	8	9	11	11	4	8	11	17	11	11	11	11	17	17	11	20	17	20	
14	3	9	11	11	17	17	11	11	11	11	11	17	17	20	20	15	15	20	15	
11	10	3	8	11	11	11	17	20	20	17	11	20	17	17	17	17	11	17	17	
17	15	11	3	17	11	10	11	17	17	11	17	17	17	17	11	17	17	17	17	
17	11	2	11	4	11	17	20	8	11	17	17	11	20	17	17	20	11	20	15	
2	8	4	17	11	4	11	11	11	11	11	11	17	11	17	17	17	17	20	11	
10	8	11	11	3	11	11	11	11	20	11	11	11	20	17	17	17	17	17	17	
17	13	10	4	17	10	11	11	20	17	20	11	11	20	17	17	17	20	15	17	
15	11	8	11	8	8	11	20	11	11	11	11	11	20	17	17	17	17	17	17	
4	10	11	11	4	11	11	17	3	11	11	17	20	17	17	20	17	17	17	20	
10	8	3	8	11	11	11	17	11	20	20	11	17	20	20	11	20	17	17	17	
17	2	11	8	4	3	13	20	11	19	17	11	17	17	11	17	17	17	17	20	
3	13	17	4	11	4	11	11	10	11	11	11	20	17	17	20	17	17	17	17	
4	4	15	11	11	11	11	11	11	20	11	17	11	20	17	17	11	20	15	17	
8	15	9	11	17	17	4	20	11	17	11	17	17	2	13	17	17	17	6	15	
12	10	11	10	8	8	11	4	20	11	11	11	20	11	17	11	20	15	17	17	
3	9	11	11	11	10	20	11	17	20	13	11	20	17	17	17	20	17	11	17	
8	8	4	11	8	10	11	11	11	11	17	20	20	11	11	17	11	17	17	17	
10	8	9	3	20	20	20	10	11	11	19	20	11	17	17	17	17	3	20	15	
15	11	4	10	17	4	11	3	20	11	11	11	17	11	17	15	17	20	17	17	
9	1	10	9	8	11	11	17	20	11	17	17	17	11	17	17	20	15	17	20	
18	3	4	11	11	11	11	11	20	17	11	11	7	9	17	17	20	17	20	15	
8	11	11	10	11	11	17	11	11	11	11	20	20	20	20	18	15	20	17	20	
14	8	11	11	10	11	17	11	17	11	17	17	17	16	17	17	17	17	20	20	
11	8	8	10	11	11	11	17	11	20	20	11	20	11	15	17	17	11	20	20	
7	8	11	11	11	11	8	13	11	11	11	11	17	17	19	11	11	17	11	15	
2	11	8	11	4	17	11	11	11	11	20	11	11	20	17	17	17	20	17	17	
9	9	11	8	11	11	11	11	13	11	11	20	20	20	17	11	17	17	17	17	
2	15	8	17	8	11	11	11	11	17	17	11	17	11	20	17	17	17	17	17	
10	11	8	11	11	10	17	11	11	17	20	13	11	17	20	13	17	15	17	17	
